order_id,date,customer_name,product,category,quantity,price,total_price,region
1,2024-06-12,Dewi Anggraini,Monitor,Electronics,3,2500000,7500000,Bandung
2,2024-02-27,Eko Prasetyo,Monitor,Electronics,5,2500000,12500000,Jakarta
3,2024-05-31,Nina Zatulini,Laptop,Electronics,1,12000000,12000000,Bandung
4,2024-02-29,Rizky Febian,Smartwatch,Electronics,2,1500000,3000000,Makassar
5,2024-06-15,Siti Nurhaliza,Botol Minum Stainless,Home & Living,4,120000,480000,Semarang
6,2024-03-12,Andi Wijaya,Celana Jeans,Fashion,3,400000,1200000,Surabaya
7,2024-02-09,Gita Gutawa,Kopi Arabika 500g,Food & Beverage,1,120000,120000,Medan
8,2024-01-25,Lina Marlina,Cokelat Box,Food & Beverage,1,95000,95000,Makassar
9,2024-04-27,Siti Nurhaliza,Headphones,Electronics,1,750000,750000,Semarang
10,2024-03-16,Utami Dewi,Teh Hijau Premium,Food & Beverage,1,85000,85000,Jakarta
11,2024-06-18,Hendra Gunawan,Kopi Arabika 500g,Food & Beverage,2,120000,240000,Bali
12,2024-01-26,Maya Putri,Snack Bucket,Food & Beverage,3,110000,330000,Bandung
13,2024-04-04,Lina Marlina,Jaket Hoodie,Fashion,1,350000,350000,Semarang
14,2024-06-11,Fajar Hidayat,Kemeja,Fashion,4,250000,1000000,Medan
15,2024-03-10,Siti Nurhaliza,Jaket Hoodie,Fashion,1,350000,350000,Bandung
16,2024-01-09,Kevin Sanjaya,Air Purifier,Home & Living,1,1800000,1800000,Bandung
17,2024-05-25,Kevin Sanjaya,Celana Jeans,Fashion,4,400000,1600000,Makassar
18,2024-04-27,Eko Prasetyo,Teh Hijau Premium,Food & Beverage,2,85000,170000,Makassar
19,2024-05-23,Siti Nurhaliza,Snack Bucket,Food & Beverage,5,110000,550000,Medan
20,2024-04-02,Hendra Gunawan,Sepatu Sneakers,Fashion,4,600000,2400000,Jakarta
21,2024-01-13,Dewi Anggraini,Kemeja,Fashion,4,250000,1000000,Semarang
22,2024-01-17,Maya Putri,Blender Juicer,Home & Living,5,450000,2250000,Surabaya
23,2024-05-21,Andi Wijaya,Monitor,Electronics,5,2500000,12500000,Bali
24,2024-03-09,Kevin Sanjaya,Tablet,Electronics,4,3500000,14000000,Bandung
25,2024-04-26,Andi Wijaya,Teh Hijau Premium,Food & Beverage,5,85000,425000,Jakarta
26,2024-06-09,Joko Widodo,Kemeja,Fashion,3,250000,750000,Bali
